1777046648.437 APP_START pkg=com.tencent.mobileqq:MSF pid=19757 tgid=19651 uid=10281 comm=MSF_StatReportT cpu=0
1777046648.437 APP_START pkg=com.google.android.as pid=3158 tgid=2762 uid=10128 comm=aiai-app-predic cpu=1
1777046648.438 APP_START pkg=com.tencent.mobileqq:MSF pid=19757 tgid=19651 uid=10281 comm=MSF_StatReportT cpu=0
1777046648.439 APP_START pkg=com.tencent.mobileqq pid=31957 tgid=31881 uid=10281 comm=QQ_SUB cpu=7
1777046648.439 APP_START pkg=com.tencent.mobileqq:MSF pid=19757 tgid=19651 uid=10281 comm=MSF_StatReportT cpu=0
1777046648.440 APP_START pkg=com.android.systemui pid=2054 tgid=2021 uid=10227 comm=ll.splashscreen cpu=7
1777046648.440 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=6
1777046648.441 APP_START pkg=com.tencent.mobileqq:MSF pid=19757 tgid=19651 uid=10281 comm=MSF_StatReportT cpu=0
1777046648.442 APP_START pkg=com.google.android.apps.nexuslauncher pid=29885 tgid=29885 uid=10229 comm=s.nexuslauncher cpu=6
1777046648.442 APP_START pkg=com.tencent.mobileqq pid=31919 tgid=31881 uid=10281 comm=binder:31881_1 cpu=6
1777046648.442 APP_START pkg=com.tencent.mobileqq:MSF pid=19779 tgid=19651 uid=10281 comm=MsfServiceAppMs cpu=4
1777046648.443 APP_START pkg=com.google.android.apps.nexuslauncher pid=29918 tgid=29885 uid=10229 comm=RenderThread cpu=7
1777046648.443 APP_START pkg=com.tencent.mobileqq pid=31920 tgid=31881 uid=10281 comm=binder:31881_2 cpu=4
1777046648.443 APP_START pkg=com.tencent.mobileqq:MSF pid=19757 tgid=19651 uid=10281 comm=MSF_StatReportT cpu=0
1777046648.443 APP_START pkg=com.android.systemui pid=2078 tgid=2021 uid=10227 comm=RenderThread cpu=1
1777046648.449 APP_START pkg=com.tencent.mobileqq:MSF pid=19779 tgid=19651 uid=10281 comm=MsfServiceAppMs cpu=0
1777046648.450 APP_START pkg=com.tencent.mobileqq pid=32174 tgid=31881 uid=10281 comm=binder:31881_5 cpu=1
1777046648.456 APP_START pkg=com.tencent.mobileqq:MSF pid=29406 tgid=19651 uid=10281 comm=binder:19651_10 cpu=4
1777046648.456 APP_START pkg=com.tencent.mobileqq pid=32170 tgid=31881 uid=10281 comm=MSF_Common_Prio cpu=3
1777046648.456 APP_START pkg=com.tencent.mobileqq:MSF pid=29406 tgid=19651 uid=10281 comm=binder:19651_10 cpu=4
