frame_number,intended_vsync_ns,expected_start_ns,expected_end_ns,actual_present_ns,is_jank,delay_ms
9430618,949932450743416,949932450743416,949932467343416,949932467337208,0,-0.006208
9430655,949932484177276,949932484177276,949932500777276,949932500768808,0,-0.008468
9430692,949932517610920,949932517610920,949932534210920,949932534189463,0,-0.021457
9430729,949932551041503,949932551041503,949932567641503,949932567624887,0,-0.016616
9430766,949932584472802,949932584472802,949932601072802,949932601061574,0,-0.011228
9430803,949932617901711,949932617901711,949932634501711,949932634485199,0,-0.016512
9430840,949932651332313,949932651332313,949932667932313,949932667925139,0,-0.007174
9430877,949932684762085,949932684762085,949932701362085,949932701368378,0,0.006293
9430914,949932718192520,949932718192520,949932734792520,949932734789479,0,-0.003041
9430951,949932751625578,949932751625578,949932768225578,949932768226043,0,0.000465
9430988,949932785057108,949932785057108,949932801657108,949932801670176,0,0.013068
9431025,949932818490358,949932818490358,949932835090358,949932835094941,0,0.004583
9431062,949932851924647,949932851924647,949932868524647,949932868544402,0,0.019755
9431099,949932885358280,949932885358280,949932901958280,949932901971770,0,0.013490
9431136,949932918797272,949932918797272,949932935397272,949932935402394,0,0.005122
9431173,949932952230756,949932952230756,949932968830756,949932968849334,0,0.018578
9431210,949932985663094,949932985663094,949933002263094,949933002285776,0,0.022682
9431247,949933019099438,949933019099438,949933035699438,949933035722870,0,0.023432
9431284,949933052540759,949933052540759,949933069140759,949933069167613,0,0.026854
9431321,949933085978163,949933085978163,949933102578163,949933102617726,0,0.039563
9431358,949933119418784,949933119418784,949933136018784,949933136060394,0,0.041610
9431395,949933152863188,949933152863188,949933169463188,949933169484508,0,0.021320
9431433,949933186307991,949933186307991,949933202907991,949933202936777,0,0.028786
9431470,949933219750029,949933219750029,949933236350029,949933236387217,0,0.037188
9431508,949933253193434,949933253193434,949933269793434,949933269810517,0,0.017083
9431546,949933286639323,949933286639323,949933303239323,949933303231374,0,-0.007949
9431584,949933320081977,949933320081977,949933336681977,949933336666473,0,-0.015504
9431622,949933353519066,949933353519066,949933370119066,949933370139576,0,0.020510
9431660,949933386955859,949933386955859,949933403555859,949933403573984,0,0.018125
9431674,949933420401593,949933420401593,949933437001593,949933436986094,0,-0.015499
9431681,949933437124459,949933437124459,949933453724459,949933453703827,0,-0.020632
9431694,949933470560524,949933470560524,949933487160524,949933487160167,0,-0.000357
9431707,949933503997744,949933503997744,949933520597744,949933520589813,0,-0.007931
9431720,949933537436971,949933537436971,949933554036971,949933554022308,0,-0.014663
9431733,949933570875440,949933570875440,949933587475440,949933587461029,0,-0.014411
9431770,949933604311149,949933604311149,949933620911149,949933620946706,0,0.035557
9431807,949933637746201,949933637746201,949933654346201,949933654327851,0,-0.018350
9431844,949933671192033,949933671192033,949933687792033,949933687774384,0,-0.017649
9431881,949933704624408,949933704624408,949933721224408,949933721207244,0,-0.017164
9431918,949933738058501,949933738058501,949933754658501,949933754636403,0,-0.022098
9431955,949933771492063,949933771492063,949933788092063,949933788061208,0,-0.030855
9431992,949933804925415,949933804925415,949933821525415,949933821493663,0,-0.031752
9432029,949933838356883,949933838356883,949933854956883,949933854934215,0,-0.022668
9432066,949933871786025,949933871786025,949933888386025,949933888408051,0,0.022026
9432103,949933905218319,949933905218319,949933921818319,949933921855438,0,0.037119
9432140,949933938660806,949933938660806,949933955260806,949933955246715,0,-0.014091
9432177,949933972103740,949933972103740,949933988703740,949933988704966,0,0.001226
9432214,949934005534216,949934005534216,949934022134216,949934022115692,0,-0.018524
9432251,949934038969224,949934038969224,949934055569224,949934055552664,0,-0.016560
9432288,949934072402917,949934072402917,949934089002917,949934088993134,0,-0.009783
9432325,949934105837032,949934105837032,949934122437032,949934122442271,0,0.005239
9432362,949934139269533,949934139269533,949934155869533,949934155866669,0,-0.002864
9432387,949934172704662,949934172704662,949934189304662,949934189324107,0,0.019445
9432400,949934206139678,949934206139678,949934222739678,949934222756602,0,0.016924
9432425,949934239578691,949934239578691,949934256178691,949934256179331,0,0.000640
9432462,949934273016214,949934273016214,949934289616214,949934289624156,0,0.007942
9432499,949934306451025,949934306451025,949934323051025,949934323078136,0,0.027111
9432524,949934339894255,949934339894255,949934356494255,949934356519013,0,0.024758
9432562,949934373334798,949934373334798,949934389934798,949934389965302,0,0.030504
9432600,949934406777429,949934406777429,949934423377429,949934423448253,0,0.070824
9432619,949934423502495,949934423502495,949934440102495,949934440109182,0,0.006687
9432656,949934456954462,949934456954462,949934473554462,949934473532522,0,-0.021940
9432693,949934490391891,949934490391891,949934506991891,949934506983491,0,-0.008400
9432730,949934523825488,949934523825488,949934540425488,949934540420828,0,-0.004660
9432767,949934557262046,949934557262046,949934573862046,949934573868703,0,0.006657
9432804,949934590703093,949934590703093,949934607303093,949934607290497,0,-0.012596
9432841,949934624147918,949934624147918,949934640747918,949934640756928,0,0.009010
9432878,949934657583569,949934657583569,949934674183569,949934674161591,0,-0.021978
9432915,949934691028186,949934691028186,949934707628186,949934707585949,0,-0.042237
9432952,949934724461548,949934724461548,949934741061548,949934741032155,0,-0.029393
9432989,949934757891563,949934757891563,949934774491563,949934774501842,0,0.010279
9433026,949934791323915,949934791323915,949934807923915,949934807906586,0,-0.017329
9433063,949934824764699,949934824764699,949934841364699,949934841340261,0,-0.024438
9433100,949934858196026,949934858196026,949934874796026,949934874780365,0,-0.015661
9433125,949934891629161,949934891629161,949934908229161,949934908211843,0,-0.017318
9433162,949934925062318,949934925062318,949934941662318,949934941665904,0,0.003586
9433199,949934958492465,949934958492465,949934975092465,949934975092866,0,0.000401
9433224,949934991927225,949934991927225,949935008527225,949935008534679,0,0.007454
9433249,949935025361759,949935025361759,949935041961759,949935041973360,0,0.011601
9433286,949935058798039,949935058798039,949935075398039,949935075398896,0,0.000857
9433323,949935092235919,949935092235919,949935108835919,949935108847138,0,0.011219
9433348,949935125677332,949935125677332,949935142277332,949935142261689,0,-0.015643
9433361,949935159114913,949935159114913,949935175714913,949935175752411,0,0.037498
9433386,949935192546011,949935192546011,949935209146011,949935209151013,0,0.005002
9433423,949935225990666,949935225990666,949935242590666,949935242591930,0,0.001264
