frame_index,frame_token,deadline_missed,frame_time_ms,thread_count,on_cpu_ms,runnable_wait_ms,top_thread,top_thread_score_ns
354,9432425,0,15.938,104,65.879,37.349,tracepilot:18002,18278170
355,9432462,0,16.127,104,59.176,36.08,tracepilot:18002,18197291
356,9432499,0,16.188,97,62.599,28.997,tracepilot:18002,17980952
357,9432524,0,16.315,90,64.622,27.994,tracepilot:18002,18374179
358,9432562,0,16.221,97,75.099,31.548,tracepilot:18002,18154903
359,9432600,0,16.167,95,60.927,26.823,tracepilot:18002,18367504
360,9432619,0,16.203,96,77.982,34.651,tracepilot:18002,16911499
361,9432656,0,16.188,96,86.0,32.506,tracepilot:18002,18619612
362,9432693,0,16.25,92,76.725,40.345,tracepilot:18002,18728903
363,9432730,0,16.204,93,77.49,36.552,tracepilot:18002,18353747
364,9432767,0,16.176,95,82.24,30.057,tracepilot:18002,18159008
365,9432804,0,16.099,94,85.105,30.905,tracepilot:18002,18824139
366,9432841,0,16.234,90,74.573,28.907,tracepilot:18002,18351168
367,9432878,0,16.177,90,68.393,26.1,tracepilot:18002,18294731
368,9432915,0,16.103,89,75.064,32.96,tracepilot:18002,18250665
369,9432952,0,16.235,97,62.678,28.831,tracepilot:18002,18150775
370,9432989,0,16.292,87,84.826,34.55,tracepilot:18002,17921749
371,9433026,0,16.266,90,83.4,35.327,tracepilot:18002,18625935
372,9433063,0,16.108,81,44.065,15.019,tracepilot:18002,18090982
373,9433100,0,16.106,72,36.622,15.242,tracepilot:18002,18552678
374,9433125,0,16.145,101,76.965,33.111,tracepilot:18002,18484448
375,9433162,0,16.169,89,46.098,17.658,tracepilot:18002,18576241
376,9433199,0,16.075,79,58.253,18.71,tracepilot:18002,18003880
377,9433224,0,16.109,93,53.067,21.375,tracepilot:18002,16682883
378,9433249,0,16.128,88,53.414,21.703,tracepilot:18002,18362258
379,9433286,0,16.186,96,48.733,24.84,tracepilot:18002,18385509
380,9433323,0,16.091,73,47.57,12.566,tracepilot:18002,18441041
381,9433348,0,16.13,77,37.521,16.239,tracepilot:18002,18394151
382,9433361,0,16.254,73,38.367,16.917,tracepilot:18002,18518076
383,9433386,0,16.195,86,56.202,34.48,tracepilot:18002,18151073
384,9433423,0,16.123,88,54.424,27.098,tracepilot:18002,18141959
385,9433460,0,16.099,70,45.894,12.017,tracepilot:18002,18320780
386,9433473,0,16.131,101,70.304,22.384,tracepilot:18002,18141334
387,9433486,0,16.182,97,56.351,27.941,tracepilot:18002,17822199
388,9433523,0,16.205,88,60.616,26.906,tracepilot:18002,18070078
389,9433560,0,16.227,95,59.416,23.015,tracepilot:18002,18107247
390,9433597,0,16.196,88,60.198,30.896,tracepilot:18002,18645227
391,9433634,0,16.268,94,63.598,27.007,tracepilot:18002,18425419
392,9433672,0,16.22,106,73.142,30.259,tracepilot:18002,18445323
393,9433709,0,16.329,94,65.041,25.396,tracepilot:18002,18043718
394,9433747,0,16.194,93,57.364,25.37,tracepilot:18002,18386868
395,9433784,0,16.227,92,64.854,26.517,tracepilot:18002,18073315
396,9433822,0,16.134,96,67.417,34.301,tracepilot:18002,17939678
397,9433841,0,16.2,86,80.681,35.838,tracepilot:18002,18392266
398,9433878,0,16.163,97,87.601,34.956,tracepilot:18002,18799603
399,9433915,0,16.261,91,74.058,33.234,tracepilot:18002,18661146
400,9433952,0,16.187,91,76.899,29.115,tracepilot:18002,18797151
401,9433989,0,16.115,86,87.924,29.402,tracepilot:18002,18456734
402,9434026,0,16.167,85,65.859,33.13,tracepilot:18002,18293823
